"crop","modelname","metric","n","n_unique","ad_statistic","ad_p_value"
"sorghum","DeepLabV3Plus","Dice",6888,6867,591.854790958087,3.7e-24
"sorghum","DeepLabV3Plus","F1",6888,6881,591.854787107623,3.7e-24
"sorghum","DeepLabV3Plus","Hausdorff",6882,1157,682.970409941746,3.7e-24
"sorghum","DeepLabV3Plus","IoU",6888,6872,439.991591914881,3.7e-24
"sorghum","DeepLabV3Plus","MAE",6888,4111,554.73480574686,3.7e-24
"sorghum","DeepLabV3Plus","PixelAccuracy",6888,4111,554.734806939917,3.7e-24
"sorghum","DeepLabV3Plus","Precision",6888,6812,631.024898821092,3.7e-24
"sorghum","DeepLabV3Plus","Recall",6888,6831,590.110482606858,3.7e-24
"sorghum","SegFormer","Dice",6888,6847,866.652521526955,3.7e-24
"sorghum","SegFormer","F1",6888,6873,866.652528189699,3.7e-24
"sorghum","SegFormer","Hausdorff",6882,894,741.213892796293,3.7e-24
"sorghum","SegFormer","IoU",6888,6861,545.496370692073,3.7e-24
"sorghum","SegFormer","MAE",6888,3930,626.867561321084,3.7e-24
"sorghum","SegFormer","PixelAccuracy",6888,3930,626.867561323541,3.7e-24
"sorghum","SegFormer","Precision",6888,6815,741.875803058371,3.7e-24
"sorghum","SegFormer","Recall",6888,6786,789.052750561709,3.7e-24
"sorghum","SegNet","Dice",6888,6856,800.510935444291,3.7e-24
"sorghum","SegNet","F1",6888,6881,800.510934442067,3.7e-24
"sorghum","SegNet","Hausdorff",6882,1314,904.018506715975,3.7e-24
"sorghum","SegNet","IoU",6888,6869,485.657153110812,3.7e-24
"sorghum","SegNet","MAE",6888,4141,546.892541736915,3.7e-24
"sorghum","SegNet","PixelAccuracy",6888,4141,546.892542587873,3.7e-24
"sorghum","SegNet","Precision",6888,6833,650.753555253653,3.7e-24
"sorghum","SegNet","Recall",6888,6829,752.78783767122,3.7e-24
"sorghum","U-NET","Dice",6888,6862,693.446848266182,3.7e-24
"sorghum","U-NET","F1",6888,6880,693.446854750229,3.7e-24
"sorghum","U-NET","Hausdorff",6882,1331,1027.38330722123,3.7e-24
"sorghum","U-NET","IoU",6888,6870,459.475133031691,3.7e-24
"sorghum","U-NET","MAE",6888,3954,561.77398435494,3.7e-24
"sorghum","U-NET","PixelAccuracy",6888,3954,561.773985884583,3.7e-24
"sorghum","U-NET","Precision",6888,6796,555.549605595419,3.7e-24
"sorghum","U-NET","Recall",6888,6820,693.648818646599,3.7e-24
"wheat","DeepLabV3Plus","Dice",3552,3521,523.29555759191,3.7e-24
"wheat","DeepLabV3Plus","F1",3552,3532,523.295557771244,3.7e-24
"wheat","DeepLabV3Plus","Hausdorff",3543,537,487.274852306625,3.7e-24
"wheat","DeepLabV3Plus","IoU",3552,3530,368.657725255995,3.7e-24
"wheat","DeepLabV3Plus","MAE",3552,1708,373.392704640107,3.7e-24
"wheat","DeepLabV3Plus","PixelAccuracy",3552,1708,373.392704168592,3.7e-24
"wheat","DeepLabV3Plus","Precision",3552,3530,440.55563418637,3.7e-24
"wheat","DeepLabV3Plus","Recall",3552,3487,462.252211608749,3.7e-24
"wheat","SegFormer","Dice",3552,3533,527.4875511323,3.7e-24
"wheat","SegFormer","F1",3552,3534,527.487559636742,3.7e-24
"wheat","SegFormer","Hausdorff",3546,521,573.045287245847,3.7e-24
"wheat","SegFormer","IoU",3552,3534,368.541701564298,3.7e-24
"wheat","SegFormer","MAE",3552,1697,379.1167131575,3.7e-24
"wheat","SegFormer","PixelAccuracy",3552,1697,379.116714022183,3.7e-24
"wheat","SegFormer","Precision",3552,3533,496.472431712888,3.7e-24
"wheat","SegFormer","Recall",3552,3481,417.880861091478,3.7e-24
"wheat","SegNet","Dice",3552,3531,568.11545776396,3.7e-24
"wheat","SegNet","F1",3552,3536,568.115466784898,3.7e-24
"wheat","SegNet","Hausdorff",3540,581,587.645137001597,3.7e-24
"wheat","SegNet","IoU",3552,3535,384.367431980322,3.7e-24
"wheat","SegNet","MAE",3552,1712,356.320175436573,3.7e-24
"wheat","SegNet","PixelAccuracy",3552,1712,356.320176300265,3.7e-24
"wheat","SegNet","Precision",3552,3526,455.448232399495,3.7e-24
"wheat","SegNet","Recall",3552,3480,536.484884448442,3.7e-24
"wheat","U-NET","Dice",3552,3518,576.66611108903,3.7e-24
"wheat","U-NET","F1",3552,3521,576.66611390314,3.7e-24
"wheat","U-NET","Hausdorff",3526,728,617.2750847852,3.7e-24
"wheat","U-NET","IoU",3552,3521,408.197926048749,3.7e-24
"wheat","U-NET","MAE",3552,1749,377.204397491159,3.7e-24
"wheat","U-NET","PixelAccuracy",3552,1749,377.204398113148,3.7e-24
"wheat","U-NET","Precision",3552,3507,578.269237868122,3.7e-24
"wheat","U-NET","Recall",3552,3458,526.111501705187,3.7e-24
