"crop","train_genotype","test_half","mean_IoU","mean_Precision","mean_Recall","mean_F1","n"
"corn","first_half","First Half",0.862580692247387,0.935777858080007,0.918530306163298,0.924543700329101,2296
"corn","first_half","Second Half",0.863864527421739,0.938327359946202,0.917402806125544,0.925111006053058,2300
"corn","second_half","First Half",0.87095783045844,0.938050092908187,0.925779924075566,0.929493962301557,2334
"corn","second_half","Second Half",0.87104812415247,0.940979076069438,0.922733500130782,0.929383241657224,2348
"sorghum","first_half","First Half",0.843109319175853,0.929981247674492,0.903766459354217,0.912945607854404,2440
"sorghum","first_half","Second Half",0.899241818165733,0.938803405837456,0.957177634807336,0.945454903516844,3643
"sorghum","second_half","First Half",0.801931595288474,0.86599718062422,0.925749150704908,0.88696067726788,2320
"sorghum","second_half","Second Half",0.928349828892121,0.954097789124547,0.972790556660361,0.962107774424992,3742
"wheat","first_half","First Half",0.812544291814168,0.885837737620276,0.914661036598441,0.894679871049438,900
"wheat","first_half","Second Half",0.838707425189032,0.931878915933976,0.896642199099048,0.910058741426372,1753
"wheat","second_half","First Half",0.791502216598019,0.918067364623578,0.855962434683435,0.880860276967562,768
"wheat","second_half","Second Half",0.885736131217875,0.938836528495219,0.940678234980154,0.938277344208367,2436
