"crop","metric","grouping","levene_statistic","levene_p_value"
"sorghum","Dice","genotype",31.9987801349182,0
"sorghum","Dice","collectiondate",60.4854142492706,5.95520637219678e-51
"sorghum","F1","genotype",31.998781065327,0
"sorghum","F1","collectiondate",60.4854110722235,5.9552435752914e-51
"sorghum","Hausdorff","genotype",16.3947640951898,1.54866049253461e-213
"sorghum","Hausdorff","collectiondate",59.7512685692832,2.52363296885657e-50
"sorghum","IoU","genotype",40.5354658854986,0
"sorghum","IoU","collectiondate",68.2048163222031,1.52494633441327e-57
"sorghum","MAE","genotype",53.1033335976606,0
"sorghum","MAE","collectiondate",115.11459702494,1.57062068145686e-97
"sorghum","PixelAccuracy","genotype",53.1033335227027,0
"sorghum","PixelAccuracy","collectiondate",115.11459715897,1.57062026914754e-97
"sorghum","Precision","genotype",38.6616969932944,0
"sorghum","Precision","collectiondate",75.8067347087033,4.94011166802275e-64
"sorghum","Recall","genotype",44.2126699761032,0
"sorghum","Recall","collectiondate",142.71765902926,5.65153002577446e-121
"wheat","Dice","genotype",17.6130652268361,2.93729517972963e-116
"wheat","Dice","collectiondate",35.6992135568704,1.00540669545923e-29
"wheat","F1","genotype",17.6130655064585,2.93728072452882e-116
"wheat","F1","collectiondate",35.6992133181853,1.00540716407067e-29
"wheat","Hausdorff","genotype",14.6388941142461,1.49533853099475e-93
"wheat","Hausdorff","collectiondate",66.7842971761536,4.50348978829144e-56
"wheat","IoU","genotype",20.4198745594566,1.01337129923864e-137
"wheat","IoU","collectiondate",48.9787081920792,5.4693521498478e-41
"wheat","MAE","genotype",34.8825579702383,1.48463582834888e-247
"wheat","MAE","collectiondate",90.4696950993769,4.49241575954508e-76
"wheat","PixelAccuracy","genotype",34.8825579493336,1.48463636553365e-247
"wheat","PixelAccuracy","collectiondate",90.4696951710066,4.49241513540368e-76
"wheat","Precision","genotype",25.9070336915344,1.30251952208101e-179
"wheat","Precision","collectiondate",31.4834132913357,3.77188926823446e-26
"wheat","Recall","genotype",24.6920801209121,2.36614821097819e-170
"wheat","Recall","collectiondate",34.7621192587734,6.26639245908676e-29
