"crop","modelname","metric","n","shapiro_statistic","shapiro_p_value"
"sorghum","DeepLabV3Plus","Dice",6888,NA,NA
"sorghum","DeepLabV3Plus","F1",6888,NA,NA
"sorghum","DeepLabV3Plus","Hausdorff",6888,NA,NA
"sorghum","DeepLabV3Plus","IoU",6888,NA,NA
"sorghum","DeepLabV3Plus","MAE",6888,NA,NA
"sorghum","DeepLabV3Plus","PixelAccuracy",6888,NA,NA
"sorghum","DeepLabV3Plus","Precision",6888,NA,NA
"sorghum","DeepLabV3Plus","Recall",6888,NA,NA
"sorghum","SegFormer","Dice",6888,NA,NA
"sorghum","SegFormer","F1",6888,NA,NA
"sorghum","SegFormer","Hausdorff",6888,NA,NA
"sorghum","SegFormer","IoU",6888,NA,NA
"sorghum","SegFormer","MAE",6888,NA,NA
"sorghum","SegFormer","PixelAccuracy",6888,NA,NA
"sorghum","SegFormer","Precision",6888,NA,NA
"sorghum","SegFormer","Recall",6888,NA,NA
"sorghum","SegNet","Dice",6888,NA,NA
"sorghum","SegNet","F1",6888,NA,NA
"sorghum","SegNet","Hausdorff",6888,NA,NA
"sorghum","SegNet","IoU",6888,NA,NA
"sorghum","SegNet","MAE",6888,NA,NA
"sorghum","SegNet","PixelAccuracy",6888,NA,NA
"sorghum","SegNet","Precision",6888,NA,NA
"sorghum","SegNet","Recall",6888,NA,NA
"sorghum","U-NET","Dice",6888,NA,NA
"sorghum","U-NET","F1",6888,NA,NA
"sorghum","U-NET","Hausdorff",6888,NA,NA
"sorghum","U-NET","IoU",6888,NA,NA
"sorghum","U-NET","MAE",6888,NA,NA
"sorghum","U-NET","PixelAccuracy",6888,NA,NA
"sorghum","U-NET","Precision",6888,NA,NA
"sorghum","U-NET","Recall",6888,NA,NA
"wheat","DeepLabV3Plus","Dice",3552,0.434878683909514,1.28145941992539e-74
"wheat","DeepLabV3Plus","F1",3552,0.434878684257832,1.28145945742237e-74
"wheat","DeepLabV3Plus","Hausdorff",3552,NA,NA
"wheat","DeepLabV3Plus","IoU",3552,0.594728105062782,6.33206852475064e-68
"wheat","DeepLabV3Plus","MAE",3552,0.599245839556992,1.05103920370388e-67
"wheat","DeepLabV3Plus","PixelAccuracy",3552,0.599245840185284,1.05103927812876e-67
"wheat","DeepLabV3Plus","Precision",3552,0.510349284594356,1.07957239906227e-71
"wheat","DeepLabV3Plus","Recall",3552,0.523068948646649,3.6635717609122e-71
"wheat","SegFormer","Dice",3552,0.425333514305764,5.78044187377325e-75
"wheat","SegFormer","F1",3552,0.425333510528305,5.780440065647e-75
"wheat","SegFormer","Hausdorff",3552,NA,NA
"wheat","SegFormer","IoU",3552,0.591398888517514,4.37221948312581e-68
"wheat","SegFormer","MAE",3552,0.589856328008212,3.68599489168992e-68
"wheat","SegFormer","PixelAccuracy",3552,0.58985632610434,3.68599411622161e-68
"wheat","SegFormer","Precision",3552,0.47423731470823,3.87711033106457e-73
"wheat","SegFormer","Recall",3552,0.535448098879061,1.23623751429316e-70
"wheat","SegNet","Dice",3552,0.432737970095029,1.07085439730039e-74
"wheat","SegNet","F1",3552,0.432737964932857,1.07085393442146e-74
"wheat","SegNet","Hausdorff",3552,NA,NA
"wheat","SegNet","IoU",3552,0.591798493163269,4.57034393466274e-68
"wheat","SegNet","MAE",3552,0.638526052803807,1.07054993638021e-65
"wheat","SegNet","PixelAccuracy",3552,0.638526051634417,1.07054978235412e-65
"wheat","SegNet","Precision",3552,0.489799136192596,1.58611487187051e-72
"wheat","SegNet","Recall",3552,0.497511748214352,3.23227815379961e-72
"wheat","U-NET","Dice",3552,0.453580450481306,6.3082404815244e-74
"wheat","U-NET","F1",3552,0.453580449555383,6.30823997646708e-74
"wheat","U-NET","Hausdorff",3552,NA,NA
"wheat","U-NET","IoU",3552,0.603419909000884,1.68591844084046e-67
"wheat","U-NET","MAE",3552,0.628782924117079,3.27235557161517e-66
"wheat","U-NET","PixelAccuracy",3552,0.628782923878301,3.27235547762681e-66
"wheat","U-NET","Precision",3552,0.409595601787274,1.5941530810001e-75
"wheat","U-NET","Recall",3552,0.533274753028625,9.96563874113942e-71
