"crop","modelname","IoUNew","IoUCV","PrecisionNew","PrecisionCV","RecallNew","RecallCV","F1New","F1CV"
"corn","DeepLabV3Plus",0.879023290935383,4.98311866607623,0.926213019322055,4.01169400079152,0.946055281512732,4.32548886086208,0.935026919819763,2.71029878886093
"corn","MaskFormer",0.882679649405685,4.93061062556396,0.94535481388475,3.63893181599369,0.930895907559672,4.49806212855193,0.937104816918251,2.677204801321
"corn","SegFormer",0.899259845524376,4.65904647319367,0.949234510283045,3.60864062102891,0.945279248075542,3.95489178111369,0.946432782210219,2.51829688235928
"corn","SegNet",0.877194931481482,5.32882282073891,0.935824447955442,3.98588957580155,0.934384905363926,4.98795912876596,0.933907715394615,2.89539540258587
"corn","U-NET",0.889086211157635,5.39234227322047,0.94723120296352,4.0026522144605,0.936177942492284,4.7132185018754,0.940591370589625,2.9165257614269
"sorghum","DeepLabV3Plus",0.914321260793292,5.1402488305425,0.960185071909098,3.73665707960868,0.950843127213016,4.31342282744479,0.954594612325339,2.76945487544277
"sorghum","MaskFormer",0.914787494421998,4.80121911045778,0.955886074649201,3.80220272079547,0.955836668627047,4.09016885363504,0.954932821242134,2.58010243893288
"sorghum","SegFormer",0.920448294943218,4.63540797480795,0.959274361152457,3.65438374556873,0.958486236532038,3.86868968377352,0.958047737674444,2.48550876831268
"sorghum","SegNet",0.912851894141797,5.16816087885196,0.954193595243051,4.15283500080475,0.955468823528684,4.26543134868442,0.953787156344521,2.78000018036235
"sorghum","U-NET",0.919639809315112,4.71814145464618,0.957557412552466,3.6547358656139,0.959446975779421,4.10810995246126,0.957590720307615,2.5293095362782
"wheat","DeepLabV3Plus",0.871503814015003,3.90543422777436,0.935734085104879,3.04307202414515,0.927624020516708,3.6811168156772,0.930980518380649,2.12854230370196
"wheat","MaskFormer",0.869961290528158,3.90440028874761,0.935066303344026,2.91224072203779,0.926460233228228,3.69311657458642,0.930099186216321,2.13205805820393
"wheat","SegFormer",0.871756264555809,3.76742860374814,0.935468007197723,2.94712810218494,0.928285355426638,3.75971413095812,0.931150576857604,2.04697735327728
"wheat","SegNet",0.885263820609154,4.48640224180601,0.939591997375097,3.26801172926971,0.939154806720799,3.88759550826926,0.938660951052994,2.42679799289277
"wheat","U-NET",0.886401670040363,4.3649112275294,0.943161893111519,2.97437135034081,0.936901997834452,3.99868249306351,0.939326023835205,2.36013514773078
